Section,What,Phrase
Conclusions,Announcing Conclusions,"In conclusion / In summary / In sum / To sum up, our work ..."
Conclusions,Announcing Conclusions,work has led us to conclude / the conclusion that ...
Conclusions,Announcing Conclusions,We have presented / outlined / described ...
Conclusions,Announcing Conclusions,In this paper / study / review we have ...
Conclusions,Announcing Conclusions, This paper has investigated / explained / given an account of ...
Conclusions,Acknowledgment,"This work was carried out / performed within the framework of an EU project and was partly
sponsored by …"
Conclusions,Acknowledgment,This research was made possible by / benefited from a grant from …
Conclusions,Acknowledgment,"Support was given by the Institute of X, who funded the work in all its / its initial stages"
Conclusions,Acknowledgment,"We thank / would like to thank the following people for their support, without whose help this work
would never have been possible:"
Conclusions,Acknowledgment,"We gratefully acknowledge the help provided by Dr. X / constructive comments of the anonymous
referees."
Conclusions,Acknowledgment,We are indebted / particularly grateful to Dr. Alvarez for …
Conclusions,Acknowledgment,"We thank / are grateful to / gratefully acknowledge Dr. Y for her help / valuable suggestions and
discussions."
Conclusions,Acknowledgment,"Thanks are also due to / The authors wish to thank Prof. X, who gave us much valuable advice in the
early stages of this work."
Conclusions,Acknowledgment,Dr. Y collaborated with / worked alongside our staff during this research project.
Conclusions,Acknowledgment,"We also thank Prof. Lim for her ongoing collaboration with our department / technical assistance in
all our experimental work."
Conclusions,Future Work Already Underway,We are currently / now / in the process of investigating ...
Conclusions,Future Work Already Underway,Research into solving this problem is already underway / in progress.Research into solving this problem is already underway / in progress.
Conclusions,Future Work Already Underway,To further our research we plan / are planning / intend to ...
Conclusions,Future Work Already Underway,Future work will concentrate on / focus on / explore / investigate / look into ...
Conclusions,Future Work Already Underway,"Further studies, which take X into account, will need to be undertaken / performed."
Conclusions,Future Work Already Underway,We hope that further tests will prove our theory / confirm our findings.
Conclusions,Future Work Already Underway,These topics are reserved for / deferred to future work.
Conclusions,Possible futures of X,The next decade is likely to see / witness a considerable rise in X
Conclusions,Possible futures of X,In the next few years X will become / is likely to have become
Conclusions,Possible futures of X,"Within the next few years, X is set / destined / likely to become an important component in …"
Conclusions,Possible futures of X,"By 2025 / Within the next ten years, X will have become …"
Conclusions,Possible futures of X,X will soon / shortly / rapidly / inevitably be an issue that …
Conclusions,Proposed for third parties to carry out,Further work needs to be done / carried out / performed to establish whether ...
Conclusions,Proposed for third parties to carry out,Further work needs to be done / carried out / performed to establish whether ...
Conclusions,Proposed for third parties to carry out,"More / Additional / Further work on X, would help us to do Y."
Conclusions,Proposed for third parties to carry out,"More / Additional / Further work on X, would help us to do Y."
Conclusions,Proposed for third parties to carry out,It is recommended / We recommend / We suggest / We propose that further research should be undertaken in the following areas:
Conclusions,Proposed for third parties to carry out,"More broadly / On a wider level, research is also needed to determine ...."
